::1 - - [18/Jan/2021:01:21:20 +0100] "GET /WBISFramework/index.php HTTP/1.1" 404 1054
::1 - - [18/Jan/2021:01:21:20 +0100] "GET /WBISFramework/index.php HTTP/1.1" 404 1054
::1 - - [18/Jan/2021:01:21:20 +0100] "GET /WBISFramework/index.php HTTP/1.1" 404 1054
::1 - - [18/Jan/2021:01:21:35 +0100] "GET /WBISFramework/index.php HTTP/1.1" 404 1054
::1 - - [18/Jan/2021:01:21:45 +0100] "GET / HTTP/1.1" 200 15476
::1 - - [18/Jan/2021:01:21:45 +0100] "GET /materialize/css/materialize.min.css HTTP/1.1" 200 117815
::1 - - [18/Jan/2021:01:21:45 +0100] "GET /css/flexslider.css HTTP/1.1" 200 3777
::1 - - [18/Jan/2021:01:21:45 +0100] "GET /css/fancybox/jquery.fancybox.css HTTP/1.1" 200 5654
::1 - - [18/Jan/2021:01:21:45 +0100] "GET /js/jquery.easing.1.3.js HTTP/1.1" 200 8097
::1 - - [18/Jan/2021:01:21:45 +0100] "GET /css/style.css HTTP/1.1" 200 34343
::1 - - [18/Jan/2021:01:21:45 +0100] "GET /js/jquery.fancybox-media.js HTTP/1.1" 200 5169
::1 - - [18/Jan/2021:01:21:45 +0100] "GET /css/font-awesome.css HTTP/1.1" 200 21658
::1 - - [18/Jan/2021:01:21:45 +0100] "GET /js/jquery.js HTTP/1.1" 200 92857
::1 - - [18/Jan/2021:01:21:45 +0100] "GET /js/jquery.fancybox.pack.js HTTP/1.1" 200 22714
::1 - - [18/Jan/2021:01:21:45 +0100] "GET /css/bootstrap.min.css HTTP/1.1" 200 101595
::1 - - [18/Jan/2021:01:21:45 +0100] "GET /css/animate.css HTTP/1.1" 200 61119
::1 - - [18/Jan/2021:01:21:46 +0100] "GET /js/animate.js HTTP/1.1" 200 10003
::1 - - [18/Jan/2021:01:21:46 +0100] "GET /js/modernizr.custom.js HTTP/1.1" 200 29342
::1 - - [18/Jan/2021:01:21:46 +0100] "GET /js/jquery.flexslider.js HTTP/1.1" 200 41110
::1 - - [18/Jan/2021:01:21:45 +0100] "GET /materialize/js/materialize.min.js HTTP/1.1" 200 142888
::1 - - [18/Jan/2021:01:21:46 +0100] "GET /js/custom.js HTTP/1.1" 200 9570
::1 - - [18/Jan/2021:01:21:46 +0100] "GET /js/jquery.isotope.min.js HTTP/1.1" 200 16033
::1 - - [18/Jan/2021:01:21:45 +0100] "GET /js/bootstrap.min.js HTTP/1.1" 200 29097
::1 - - [18/Jan/2021:01:21:46 +0100] "GET /js/jquery.magnific-popup.min.js HTTP/1.1" 200 21143
::1 - - [18/Jan/2021:01:21:46 +0100] "GET /img/service3.jpg HTTP/1.1" 200 29622
::1 - - [18/Jan/2021:01:21:46 +0100] "GET /img/about.jpg HTTP/1.1" 200 29166
::1 - - [18/Jan/2021:01:21:46 +0100] "GET /img/slides/2.jpg HTTP/1.1" 200 158622
::1 - - [18/Jan/2021:01:21:46 +0100] "GET /img/service2.jpg HTTP/1.1" 200 60394
::1 - - [18/Jan/2021:01:21:46 +0100] "GET /img/service1.jpg HTTP/1.1" 200 80036
::1 - - [18/Jan/2021:01:21:46 +0100] "GET /img/slides/1.jpg HTTP/1.1" 200 92563
::1 - - [18/Jan/2021:01:21:46 +0100] "GET /fonts/fontawesome-webfont.woff?v=4.0.3 HTTP/1.1" 200 44432
::1 - - [18/Jan/2021:01:22:21 +0100] "GET /index.php HTTP/1.1" 404 1054
